date_day,distance,captures,distance_diff,captures_diff,family
2024-10-30,128.15343844538606,894,69.41422540997235,436.0,stitch
2024-10-31,73.5548559155642,680,-54.598582529821854,-214.0,stitch
2024-11-01,66.07620976365656,560,-7.47864615190764,-120.0,stitch
2024-11-02,127.23464019304632,881,61.15843042938975,321.0,stitch
2024-11-03,92.57746498393628,521,-34.65717520911004,-360.0,stitch
2024-11-04,47.4610998126109,297,-45.116365171325384,-224.0,stitch
2024-11-05,66.57554476724083,517,19.11444495462993,220.0,stitch
2024-11-06,21.759091496573898,252,-44.816453270666926,-265.0,stitch
2024-11-07,19.758397271049102,181,-2.0006942255247964,-71.0,stitch
2024-11-08,32.314330358480625,288,12.555933087431523,107.0,stitch
2024-11-09,55.89003690249866,483,23.575706544018033,195.0,stitch
2024-11-10,117.71408017985407,758,61.82404327735541,275.0,stitch
