code_insee,nom_standard,dep_code,population,superficie_km2,densite,latitude_mairie,longitude_mairie
01289,Péronnas,01,6448,18,361.0,46.179,5.204
01290,Pérouges,01,1346,19,69.0,45.903,5.178
01291,Perrex,01,852,11,76.0,46.245,4.98
01293,Peyriat,01,148,6,24.0,46.155,5.512
01294,Peyrieu,01,908,14,65.0,45.678,5.677
01295,Peyzieux-sur-Saône,01,666,9,76.0,46.128,4.816
01296,Pirajoux,01,407,13,31.0,46.371,5.299
01297,Pizay,01,914,11,82.0,45.889,5.091
01298,Plagne,01,161,6,27.0,46.192,5.728
01299,Le Plantay,01,579,21,28.0,46.021,5.09
01301,Polliat,01,2648,20,131.0,46.249,5.126
01302,Pollieu,01,168,4,46.0,45.797,5.744
01303,Poncin,01,1729,20,87.0,46.086,5.407
01304,Pont-d'Ain,01,2871,11,256.0,46.049,5.341
01305,Pont-de-Vaux,01,2189,8,285.0,46.43,4.938
01306,Pont-de-Veyle,01,1629,2,814.0,46.266,4.885
01307,Port,01,843,4,195.0,46.163,5.573
01308,Pougny,01,796,8,104.0,46.139,5.952
01309,Pouillat,01,81,6,13.0,46.327,5.428
01310,Prémeyzel,01,247,8,32.0,45.683,5.647
01311,Prémillieu,01,44,8,5.0,45.874,5.572
01313,Prévessin-Moëns,01,9063,12,751.0,46.254,6.081
01314,Priay,01,1764,16,112.0,46.003,5.29
01317,Ramasse,01,331,10,34.0,46.193,5.356
01318,Rancé,01,741,10,77.0,45.966,4.868
01319,Relevant,01,467,12,38.0,46.089,4.949
01320,Replonges,01,3899,17,234.0,46.309,4.882
01321,Revonnas,01,896,8,116.0,46.163,5.332
01322,Reyrieux,01,5098,16,326.0,45.935,4.825
01323,Reyssouze,01,1010,10,106.0,46.433,4.92
01325,Rignieux-le-Franc,01,1098,15,73.0,45.941,5.19
01328,Romans,01,617,22,28.0,46.122,5.024
01329,Rossillon,01,160,8,20.0,45.833,5.592
01330,Ruffieu,01,177,14,13.0,45.995,5.663
01331,Saint-Alban,01,192,8,24.0,46.094,5.454
01332,Saint-André-de-Bâgé,01,809,3,296.0,46.294,4.917
01333,Saint-André-de-Corcy,01,3368,21,160.0,45.928,4.953
01334,Saint-André-d'Huiriat,01,675,9,75.0,46.213,4.911
01335,Saint-André-le-Bouchoux,01,418,9,45.0,46.117,5.078
01336,Saint-André-sur-Vieux-Jonc,01,1211,25,49.0,46.157,5.146
01337,Saint-Bénigne,01,1343,17,81.0,46.445,4.961
01338,Groslée-Saint-Benoit,01,1238,21,58.0,45.695,5.588
01339,Saint-Bernard,01,1497,3,475.0,45.945,4.736
01342,Sainte-Croix,01,547,11,52.0,45.895,5.053
01343,Saint-Cyr-sur-Menthon,01,1844,17,108.0,46.275,4.974
01344,Saint-Denis-lès-Bourg,01,6063,13,481.0,46.203,5.19
01345,Saint-Denis-en-Bugey,01,2240,3,862.0,45.952,5.33
01346,Saint-Didier-d'Aussiat,01,850,15,56.0,46.308,5.062
01347,Saint-Didier-de-Formans,01,2141,7,323.0,45.956,4.78
01348,Saint-Didier-sur-Chalaronne,01,3052,25,121.0,46.178,4.817
01349,Saint-Éloi,01,524,14,37.0,45.931,5.153
01350,Saint-Étienne-du-Bois,01,2553,29,89.0,46.288,5.293
01351,Saint-Étienne-sur-Chalaronne,01,1613,21,77.0,46.148,4.866
01352,Saint-Étienne-sur-Reyssouze,01,581,14,42.0,46.412,5.001
01353,Sainte-Euphémie,01,1730,5,374.0,45.973,4.796
01354,Saint-Genis-Pouilly,01,14558,10,1479.0,46.244,6.025
01355,Saint-Genis-sur-Menthon,01,486,12,42.0,46.282,5.009
01356,Saint-Georges-sur-Renon,01,199,6,35.0,46.106,5.031
01357,Saint-Germain-de-Joux,01,505,11,44.0,46.178,5.738
01358,Saint-Germain-les-Paroisses,01,425,16,26.0,45.774,5.619
01359,Saint-Germain-sur-Renon,01,257,16,16.0,46.081,5.057
01360,Saint-Jean-de-Gonville,01,1988,12,164.0,46.212,5.954
01361,Saint-Jean-de-Niost,01,1826,14,130.0,45.84,5.218
01362,Saint-Jean-de-Thurigneux,01,829,16,51.0,45.952,4.883
01363,Saint-Jean-le-Vieux,01,1786,15,118.0,46.029,5.389
01364,Saint-Jean-sur-Reyssouze,01,767,27,28.0,46.397,5.063
